project_number,donor_name,agency_name,recipient_name,year,usd_commitment,usd_disbursement,project_title,short_description,long_description
SRV-02/154,Norway,Norwegian Agency for Development Co-operation,Viet Nam,2002,0.159412,0.155154,POPULATION REGISTER ADD3,POPULATION REGISTER,ESTABLISHING A PILOT POPULATION REGISTER IN VIETNAM - ASSISTANCE TO INTERIM PHASE 2. ADDENDUM 3  TO THE MAIN AGRE5EMENT TO CONCLUDE INTERIM PERIOD.
RWA98P043374,UNFPA,UNFPA,Rwanda,2002,0.071071,0.071071,SNIP,REINFORCEMENT OF NATIONAL SERVICE STATISTCS/CIVIL REGISTRATION,REINFORCEMENT OF NATIONAL SERVICE STATISTCS/CIVIL REGISTRATI     //////   COMPONENTS = FAMILY PLANNING: % ; REPRODUCTIVE HEALTH: % ; HIV/AIDS: % ; BASIC RESEARCH IN REPROD. HEALTH: 100%
CMR95P023399,UNFPA,UNFPA,Cameroon,2002,0.009999,0.009999,VITAL STATISTICS,POPULATION POLICY AND ADMIN. MGMT,VITAL STATISTICS     //////   COMPONENTS = FAMILY PLANNING: % ; REPRODUCTIVE HEALTH: % ; HIV/AIDS: % ; BASIC RESEARCH IN REPROD. HEALTH: 100%
029Y5D,Australia,Australian Government,Papua New Guinea,2003,0.00481998,,CHILD PROTECTION,CHILD PROTECTION,"ACQUITTAL INCLUDES $1066 INTEREST EARNED COUNTRY & LOCATION BANGLADESH - KISHOREGNJ, KURIGRAM, JOYPURHAT, SIRAJGAN. EAST TIMOR - MANATUTO & DILI PAPUA NEW GUINEA - PORT MORESBY NEPAL - SUNSARI DISTRICT EASTERN DEVELOPMENT REGION OBJECTIVES -BANGLADESH TO DEVELOP A SUSTAINABLE BIRTH REGISTRATION SYSTEM THAT CONTRIBUTES TO THE FULFILLMENT OF CHILDREN'S RIGHTS. -TO UPDATE DEMOGRAPHIC DATA WHICH WILL FACILITATE THE PLANNING OF BASIC SOCIAL AND HEALTH SERVICES FOR CHILDREN IN BANGLADESH. -EAST TIMOR TO ASSIST CHILDREN AND WOMEN IN NEED OF SPECIAL PROTECTION ESPECIALLY VICTIMS OF VIOLENCE ABUSE SEXUAL EXPLOITATION AND NEGLECT BY STRENGTHENING PROTECTION SERVICES, BUILDING CAPACITY AND PROVIDING SUPPORT TO CIVIL SOCIETY GROUPS AND THE GOVERNMENT. -TO PROVIDE EDUCATION CAPACITY BUILDING AND SUPPORT TO EAST TIMORESE CHILDREN, YOUTH AND PARENTS THROUGH COMMUNITY BASED CENTRES (CHILD-FRIENDLY SPACES) IN MANATUTO AND DILI. PNG TO PROVIDE EFFECTIVE AND COORDINATED SERVICES FOR VICTIMS OF CHILD ABUSE IMPROVE UNDERSTANDING OF THE FORMS AND EXTENT OF CHIL"
SRV-02/154,Norway,Norwegian Agency for Development Co-operation,Viet Nam,2003,,0.00480287,POPULATION REGISTER ADD3,POPULATION REGISTER,ESTABLISHING A PILOT POPULATION REGISTER IN VIETNAM - ASSISTANCE TO INTERIM PHASE 2. ADDENDUM 3  TO THE MAIN AGRE5EMENT TO CONCLUDE INTERIM PERIOD.
029Y5D,Australia,Australian Government,Timor-Leste,2003,0.00481998,,CHILD PROTECTION,CHILD PROTECTION,"ACQUITTAL INCLUDES $1066 INTEREST EARNED COUNTRY & LOCATION BANGLADESH - KISHOREGNJ, KURIGRAM, JOYPURHAT, SIRAJGAN. EAST TIMOR - MANATUTO & DILI PAPUA NEW GUINEA - PORT MORESBY NEPAL - SUNSARI DISTRICT EASTERN DEVELOPMENT REGION OBJECTIVES -BANGLADESH TO DEVELOP A SUSTAINABLE BIRTH REGISTRATION SYSTEM THAT CONTRIBUTES TO THE FULFILLMENT OF CHILDREN'S RIGHTS. -TO UPDATE DEMOGRAPHIC DATA WHICH WILL FACILITATE THE PLANNING OF BASIC SOCIAL AND HEALTH SERVICES FOR CHILDREN IN BANGLADESH. -EAST TIMOR TO ASSIST CHILDREN AND WOMEN IN NEED OF SPECIAL PROTECTION ESPECIALLY VICTIMS OF VIOLENCE ABUSE SEXUAL EXPLOITATION AND NEGLECT BY STRENGTHENING PROTECTION SERVICES, BUILDING CAPACITY AND PROVIDING SUPPORT TO CIVIL SOCIETY GROUPS AND THE GOVERNMENT. -TO PROVIDE EDUCATION CAPACITY BUILDING AND SUPPORT TO EAST TIMORESE CHILDREN, YOUTH AND PARENTS THROUGH COMMUNITY BASED CENTRES (CHILD-FRIENDLY SPACES) IN MANATUTO AND DILI. PNG TO PROVIDE EFFECTIVE AND COORDINATED SERVICES FOR VICTIMS OF CHILD ABUSE IMPROVE UNDERSTANDING OF THE FORMS AND EXTENT OF CHIL"
029Y5D,Australia,Australian Government,Bangladesh,2003,0.00481998,,CHILD PROTECTION,CHILD PROTECTION,"ACQUITTAL INCLUDES $1066 INTEREST EARNED COUNTRY & LOCATION BANGLADESH - KISHOREGNJ, KURIGRAM, JOYPURHAT, SIRAJGAN. EAST TIMOR - MANATUTO & DILI PAPUA NEW GUINEA - PORT MORESBY NEPAL - SUNSARI DISTRICT EASTERN DEVELOPMENT REGION OBJECTIVES -BANGLADESH TO DEVELOP A SUSTAINABLE BIRTH REGISTRATION SYSTEM THAT CONTRIBUTES TO THE FULFILLMENT OF CHILDREN'S RIGHTS. -TO UPDATE DEMOGRAPHIC DATA WHICH WILL FACILITATE THE PLANNING OF BASIC SOCIAL AND HEALTH SERVICES FOR CHILDREN IN BANGLADESH. -EAST TIMOR TO ASSIST CHILDREN AND WOMEN IN NEED OF SPECIAL PROTECTION ESPECIALLY VICTIMS OF VIOLENCE ABUSE SEXUAL EXPLOITATION AND NEGLECT BY STRENGTHENING PROTECTION SERVICES, BUILDING CAPACITY AND PROVIDING SUPPORT TO CIVIL SOCIETY GROUPS AND THE GOVERNMENT. -TO PROVIDE EDUCATION CAPACITY BUILDING AND SUPPORT TO EAST TIMORESE CHILDREN, YOUTH AND PARENTS THROUGH COMMUNITY BASED CENTRES (CHILD-FRIENDLY SPACES) IN MANATUTO AND DILI. PNG TO PROVIDE EFFECTIVE AND COORDINATED SERVICES FOR VICTIMS OF CHILD ABUSE IMPROVE UNDERSTANDING OF THE FORMS AND EXTENT OF CHIL"
029Y5D,Australia,Australian Government,Nepal,2003,0.00481998,,CHILD PROTECTION,CHILD PROTECTION,"ACQUITTAL INCLUDES $1066 INTEREST EARNED COUNTRY & LOCATION BANGLADESH - KISHOREGNJ, KURIGRAM, JOYPURHAT, SIRAJGAN. EAST TIMOR - MANATUTO & DILI PAPUA NEW GUINEA - PORT MORESBY NEPAL - SUNSARI DISTRICT EASTERN DEVELOPMENT REGION OBJECTIVES -BANGLADESH TO DEVELOP A SUSTAINABLE BIRTH REGISTRATION SYSTEM THAT CONTRIBUTES TO THE FULFILLMENT OF CHILDREN'S RIGHTS. -TO UPDATE DEMOGRAPHIC DATA WHICH WILL FACILITATE THE PLANNING OF BASIC SOCIAL AND HEALTH SERVICES FOR CHILDREN IN BANGLADESH. -EAST TIMOR TO ASSIST CHILDREN AND WOMEN IN NEED OF SPECIAL PROTECTION ESPECIALLY VICTIMS OF VIOLENCE ABUSE SEXUAL EXPLOITATION AND NEGLECT BY STRENGTHENING PROTECTION SERVICES, BUILDING CAPACITY AND PROVIDING SUPPORT TO CIVIL SOCIETY GROUPS AND THE GOVERNMENT. -TO PROVIDE EDUCATION CAPACITY BUILDING AND SUPPORT TO EAST TIMORESE CHILDREN, YOUTH AND PARENTS THROUGH COMMUNITY BASED CENTRES (CHILD-FRIENDLY SPACES) IN MANATUTO AND DILI. PNG TO PROVIDE EFFECTIVE AND COORDINATED SERVICES FOR VICTIMS OF CHILD ABUSE IMPROVE UNDERSTANDING OF THE FORMS AND EXTENT OF CHIL"
JOR03P053399,UNFPA,UNFPA,Jordan,2003,0.02385,0.02385,ENHANCING CAPACITY FOR UTILIZATION OF VITAL STATISTICS,ENHANCING CAPACITY FOR UTILIZATION OF VITAL STATISTICS,ENHANCING CAPACITY FOR UTILIZATION OF VITAL STATISTICS ///// COMPONENTS = FAMILY PLANNING: 0% ; REPRODUCTIVE HEALTH: 0% ; HIV/AIDS: 0% ; BASIC RESEARCH IN REPROD.HEALTH: 100%
UGA-02/161,Norway,Norwegian Agency for Development Co-operation,Uganda,2003,,0.706304,BIRTH REGISTRATION,BIRTH REGISTRATION,SUPPORT TO UNICEFS BIRTH REGISTRATION PROJECT. OBJECTIVE OF THE UNICEF PROGRAMME ON BIRTH AND DEATH REGISTRATION IS TO HAVE ALL UGANDAN CHILDREN REGISTERED UPON BIRTH WITH NAME AND NATIONALITY.  TO ACHIEVE THIS UNICEF WILL SUPPORT THE GOVERNMENT OF UGANDA
STP99P053399,UNFPA,UNFPA,Sao Tome and Principe,2003,1e-06,1e-06,SUPPORT TO 2001 POP & HOUSING CENSUS/PROCESS.VITAL EVENTS DATA,SUPPORT TO 2001 POP & HOUSING CENSUS/PROCESS.VITAL EVENTS DATA,SUPPORT TO 2001 POP & HOUSING CENSUS/PROCESS.VITAL EVENTS DATA ///// COMPONENTS = FAMILY PLANNING: 0% ; REPRODUCTIVE HEALTH: 0% ; HIV/AIDS: 0% ; BASIC RESEARCH IN REPROD.HEALTH: 100%
JOR03P05,UNFPA,UNFPA,Jordan,2005,0.00130339,0.00130339,Availability of Disaggregated Population Data,AVAILABILITY OF DISAGGREGATED POPULATION DATA,VITAL STATISTICS
755PL201,Finland,Ministry of Foreign Affairs,Philippines,2005,0.21914,,,UNREGISTERED CHILDREN,TO ENSURE THE RIGHT TO A NAME AND NATIONALITY OF CHILDREN BY ACHIEVING A 100% BIRTH REGISTRATION OF GIRLS AND BOYS BELOW 18 YEARS OF AGE.
451PLOLD,Finland,Ministry of Foreign Affairs,Paraguay,2005,0.163783,,,BIRTH REGISTRATION,TO INCREASE THE NUMBER OF OFFICIALLY REGISTERED CHILDREN IN PLAN AREAS OF INTERVENTION FROM LESS THAN 80 % UP TO 100 % WHILE RAISING AWARENESS AMONG FAMILIES AND COMMUNITIES ON THE RIGHTS OF THE CHILD.
SCR.549263.1.001,EU Institutions,European Commission,Bangladesh,2005,1.24161,,DDH-2005/ 110772,POPULATION POLICY AND ADMIN. MGMT,DDH/2005/110-772-BANGLADESH - BIRTH REGISTRATION REMARKS : BANGLADESH SPLIT :
298PL108,Finland,Ministry of Foreign Affairs,"Africa, regional",2005,0.171949,,,UNIVERSAL BIRTH REGISTRATION CONFERENCE,AFRICAN REGIONAL BIRTH REGISTRATION CONFERENCE
JOR03P05,UNFPA,UNFPA,Jordan,2004,0.000525,0.000525,Availability of Disaggregated Population Data,AVAILABILITY OF DISAGGREGATED POPULATION DATA,VITAL STATISTICS
45100101,Finland,Ministry of Foreign Affairs,Ecuador,2004,0.136546,,BIRTH REGISTRATION,BIRTH REGISTRATION,THE REGISTRATION OF CHILDREN IN THE PROGRAM AREA AND INCREASING AWARENESS ON CHILD RIGHTS.
UGA-03/327,Norway,Ministry of Foreign Affairs,Uganda,2004,1.48383,,BIRTH AND DEATH REGISTRATION - II,POPULATION POLICY AND ADMINISTRATIVE MANAGEMENT,SUPPORT TO UNICEFS BIRTH REGISTRATION PROJECT. OBJECTIVE OF THE UNICEF PROGRAMME ON BIRTH AND DEATH REGISTRATION IS TO HAVE ALL UGANDAN CHILDREN REGISTERED UPON BIRTH WITH NAME AND NATIONALITY.
SCR.549263.1.B2006,EU Institutions,European Commission,Bangladesh,2006,0,0.815865,DDH/2005/110-772-BANGLADESH - BIRTH REGISTRATION,DDH/2005/110-772-BANGLADESH - BIRTH REGISTRATION,DDH/2005/110-772-BANGLADESH - BIRTH REGISTRATION
,UNICEF,UNICEF,"Oceania, regional",2006,0.00823,0.00823,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Eritrea,2006,0.00126,0.00126,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Mozambique,2006,0.02556,0.02556,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Kenya,2006,0.00425,0.00425,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Iran,2006,0.13237,0.13237,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Iran,2006,0.04114,0.04114,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Tanzania,2006,0.08709,0.08709,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Tanzania,2006,0.00054,0.00054,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
JOR03P05,UNFPA,UNFPA,Jordan,2006,0.00718714,0.00718714,Availability of Disaggregated Population Data,AVAILABILITY OF DISAGGREGATED POPULATION DATA,VITAL STATISTICS
,UNICEF,UNICEF,China (People's Republic of),2006,0.00259,0.00259,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Comoros,2006,0.00058,0.00058,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Ethiopia,2006,0.07198,0.07198,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Philippines,2006,0.00726,0.00726,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,South Africa,2006,0.00062,0.00062,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Sudan,2006,0,,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Djibouti,2006,0.01808,0.01808,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Djibouti,2006,0.00269,0.00269,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Madagascar,2006,0.13556,0.13556,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Madagascar,2006,0.04389,0.04389,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,India,2006,0.01263,0.01263,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,India,2006,0.00032,0.00032,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Bangladesh,2006,0.71768,0.71768,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
JOR03P05,UNFPA,UNFPA,Jordan,2006,0.00570622,0.00570622,Availability of Disaggregated Population Data,AVAILABILITY OF DISAGGREGATED POPULATION DATA,VITAL STATISTICS
,UNICEF,UNICEF,Bolivia,2006,0.0068,0.0068,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Bolivia,2006,0.03785,0.03785,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Belize,2006,4e-05,4e-05,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Nepal,2006,0.00709,0.00709,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Afghanistan,2006,0.05704,0.05704,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Ecuador,2006,0.01371,0.01371,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Haiti,2006,0.00085,0.00085,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Nicaragua,2006,0.08358,0.08358,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nicaragua,2006,0.00098,0.00098,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Peru,2006,0.00025,0.00025,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Pakistan,2006,0.01943,0.01943,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Paraguay,2006,0.0036,0.0036,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Central African Republic,2006,0.0037,0.0037,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Central African Republic,2006,0.00055,0.00055,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Niger,2006,0.0447,0.0447,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Niger,2006,0.02013,0.02013,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Chad,2006,0.02397,0.02397,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Ghana,2006,0.04846,0.04846,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Guinea,2006,0.01198,0.01198,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nigeria,2006,0.24398,0.24398,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Cameroon,2006,0.01734,0.01734,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Guinea-Bissau,2006,0.00611,0.00611,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Gambia,2006,0.00566,0.00566,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Gambia,2006,0.00146,0.00146,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Senegal,2006,0.02999,0.02999,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Senegal,2006,0.03965,0.03965,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Togo,2006,0.01218,0.01218,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Burkina Faso,2006,0.09134,0.09134,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
13798,Netherlands,Ministry of Foreign Affairs (DGIS),Mozambique,2006,3.65672,1.1287,MAP Birth registration,MAP BIRTH REGISTRATION,"birth registration in 11 provinces, 55 districts"
,UNICEF,UNICEF,Cambodia,2006,0.00065,0.00065,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Mongolia,2006,0.00192,0.00192,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Lao People's Democratic Republic,2006,9e-04,9e-04,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Lesotho,2006,0.00068,0.00068,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Myanmar,2006,0.1047,0.1047,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Malaysia,2006,9e-05,9e-05,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Viet Nam,2006,0.00139,0.00139,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Viet Nam,2006,2e-04,2e-04,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Indonesia,2006,0.14682,0.14682,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Papua New Guinea,2006,0.03822,0.03822,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Malawi,2006,0.01024,0.01024,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Botswana,2006,0.00086,0.00086,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Uganda,2006,0.18541,0.18541,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Yemen,2006,0.00171,0.00171,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Honduras,2006,0.03201,0.03201,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Honduras,2006,0.00126,0.00126,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Venezuela,2006,0.00355,0.00355,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Dominican Republic,2006,0.00044,0.00044,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Venezuela,2006,0.01177,0.01177,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Equatorial Guinea,2006,0.01767,0.01767,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Congo,2006,0.01894,0.01894,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Congo,2006,0.0077,0.0077,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Democratic Republic of the Congo,2006,0.0445,0.0445,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Democratic Republic of the Congo,2006,5e-04,5e-04,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Mali,2006,0.0708,0.0708,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,CÙte d'Ivoire,2006,0.01129,0.01129,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Sierra Leone,2006,0.16787,0.16787,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
SCR.549263.1.B2007,EU Institutions,European Commission,Bangladesh,2007,0,0.273785,Bangladesh - Birth Registration,POPULATION POLICY AND ADMIN. MGMT,"Falling under Regulation Nos 975/1999 and 976/1999, modified by 2240/2004"
,UNICEF,UNICEF,Madagascar,2007,0.21799,0.21799,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,"South of Sahara, regional",2007,0.01441,0.01441,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
